"","LOCATION","Value","gov_right1","nld","sstran","effpar_ele","debt_hist","internetTValue","internetTLOCATION","internetTTIME","workhourTValue","workhourTLOCATION","workhourTTIME","adulteducationTValue","adulteducationTLOCATION","adulteducationTTIME","teachinghoursTValue","teachinghoursTLOCATION","teachinghoursTTIME"
"608","ESP2002",7.7,0,688,11.57,3.127169474,59.25,0,"0",0,1765,"ESP",2002,24.921057,"ESP",2002,0,"0",0
"609","ESP2003",7.8,0,678,11.52,3.127169474,54.42,0,"0",0,1756,"ESP",2003,25.625629,"ESP",2003,0,"0",0
"610","ESP2004",7.7,0,708,11.56,3.051068789,52.51,0,"0",0,1742,"ESP",2004,26.748661,"ESP",2004,0,"0",0
"611","ESP2005",7.3,0,685,11.45,3.051068789,49.98,35.5086,"ESP",2005,1726,"ESP",2005,28.518797,"ESP",2005,880,"ESP",2005
"612","ESP2006",6.9,0,783,11.31,3.051068789,45.69,38.0418,"ESP",2006,1716,"ESP",2006,28.809401,"ESP",2006,880,"ESP",2006
"613","ESP2007",6.7,0,752,11.45,3.051068789,41.73,43.4838,"ESP",2007,1704,"ESP",2007,29.27644,"ESP",2007,880,"ESP",2007
"614","ESP2008",7,0,811,12.28,2.822737717,47.14,49.856,"ESP",2008,1713,"ESP",2008,29.519304,"ESP",2008,880,"ESP",2008
"615","ESP2009",6.9,0,1001,14.37,2.822737717,61.95,52.9288,"ESP",2009,1720,"ESP",2009,29.989544,"ESP",2009,880,"ESP",2009
"616","ESP2010",6.3,0,986,15.05,2.822737717,66.71,57.8236,"ESP",2010,1710,"ESP",2010,31.016668,"ESP",2010,880,"ESP",2010
"617","ESP2011",6.3,0,777,15.34,3.448049955,77.8,62.7077,"ESP",2011,1716,"ESP",2011,31.91456,"ESP",2011,880,"ESP",2011
"618","ESP2012",6.9,0,878,16.2,3.448049955,92.16,66.5907,"ESP",2012,1701,"ESP",2012,32.649994,"ESP",2012,880,"ESP",2012
"619","ESP2013",7.5,0,994,16.65,3.448049955,103.91,69.7292,"ESP",2013,1694,"ESP",2013,33.734821,"ESP",2013,880,"ESP",2013
"620","ESP2014",7.6,0,777,16.49,3.448049955,117.88,74.3549,"ESP",2014,1697,"ESP",2014,34.678776,"ESP",2014,880,"ESP",2014
"621","EST1981",39.2,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"622","EST1982",34.6,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"623","EST1985",33,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"624","EST1986",30.2,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"625","EST1987",27.3,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"626","EST1988",26.8,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"627","EST1989",27.4,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"628","EST1990",29.6,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"629","EST1991",29.5,0,0,0,0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"630","EST1992",34.5,50,0,0,8.893473969,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"631","EST1993",40.8,50,0,0,8.893473969,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"632","EST1994",43.6,50,0,0,8.893473969,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"633","EST1995",42.7,20.99,0,9.49,5.937713387,13.29,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"634","EST1996",41,40,0,9.85,5.937713387,12.25,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"635","EST1997",38.5,8.22,0,9.44,5.937713387,11.26,0,"0",0,0,"0",0,29.998423,"EST",1997,0,"0",0
"636","EST1998",35.2,0,0,9.65,5.937713387,10.03,0,"0",0,0,"0",0,29.753735,"EST",1998,0,"0",0
"637","EST1999",34.7,51.51,0,10.52,6.903026287,10.82,0,"0",0,0,"0",0,28.811958,"EST",1999,0,"0",0
"638","EST2000",26.9,66.67,0,9.51,6.903026287,6.82,0,"0",0,1978,"EST",2000,28.669167,"EST",2000,630,"EST",2000
"639","EST2001",29.1,66.67,0,9.09,6.903026287,6.67,0,"0",0,1970,"EST",2001,29.479181,"EST",2001,0,"0",0
"640","EST2002",26.7,44.62,0,8.91,6.903026287,7.62,0,"0",0,1973,"EST",2002,29.358723,"EST",2002,0,"0",0
"641","EST2003",24.5,84.5,1,8.87,5.435550676,8.37,0,"0",0,1978,"EST",2003,29.649635,"EST",2003,0,"0",0
"642","EST2004",23.5,100,1,9.22,5.435550676,8.65,0,"0",0,1986,"EST",2004,30.712088,"EST",2004,0,"0",0
"643","EST2005",19.6,74.27,0,8.91,5.435550676,8.18,36.7926,"EST",2005,2008,"EST",2005,33.025089,"EST",2005,630,"EST",2005
"644","EST2006",17.3,64.29,1,8.62,5.435550676,8.02,45.1789,"EST",2006,2001,"EST",2006,33.118874,"EST",2006,630,"EST",2006
"645","EST2007",18.2,74.89,2,8.45,5.031092149,7.28,52.2022,"EST",2007,1998,"EST",2007,33.146008,"EST",2007,630,"EST",2007
"646","EST2008",17.3,78.57,1,10.39,5.031092149,8.4,57.3505,"EST",2008,1968,"EST",2008,34.176804,"EST",2008,630,"EST",2008
"647","EST2009",19.3,90.96,0,13.76,5.031092149,12.61,61.8507,"EST",2009,1831,"EST",2009,36.065544,"EST",2009,630,"EST",2009
"648","EST2010",15.9,100,0,12.74,5.031092149,11.95,66.8903,"EST",2010,1875,"EST",2010,35.423084,"EST",2010,630,"EST",2010
"649","EST2011",15.3,100,0,11.21,4.779292282,9.39,69.3906,"EST",2011,1919,"EST",2011,36.889767,"EST",2011,619.2,"EST",2011
"650","EST2012",16.6,100,2,10.72,4.779292282,12.94,73.8201,"EST",2012,1886,"EST",2012,37.605877,"EST",2012,619.2,"EST",2012
"651","EST2013",15.3,100,0,10.67,4.779292282,13.36,79.3059,"EST",2013,1866,"EST",2013,37.345535,"EST",2013,619.2,"EST",2013
"652","EST2014",17.5,67.01,0,10.75,4.779292282,13.66,82.8959,"EST",2014,1859,"EST",2014,37.499954,"EST",2014,619.2,"EST",2014
"653","FIN1960",24.4,0,44,5.1,5.197829386,12.57,0,"0",0,2061,"FIN",1960,0,"0",0,0,"0",0
"654","FIN1961",24.9,0,51,6.1,5.197829386,10.66,0,"0",0,2060,"FIN",1961,0,"0",0,0,"0",0
"655","FIN1962",25.6,19.65,46,6.5,5.860359357,11.35,0,"0",0,2053,"FIN",1962,0,"0",0,0,"0",0
