Area,Consumption Segment,Country,"Sector, Category or Product",name,Value
Urban,All,Bangladesh,"Coffee, Tea and Cocoa",$PPP,153.4371428
Urban,All,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,5066.034143
National,Higher,Belarus,"Coffee, Tea and Cocoa",US$,48.96815664
National,Higher,Belarus,"Coffee, Tea and Cocoa",$PPP,132.2056161
National,Higher,Belarus,"Coffee, Tea and Cocoa",Local Currency,145852.1442
National,Middle,Belarus,"Coffee, Tea and Cocoa",US$,194.080914
National,Middle,Belarus,"Coffee, Tea and Cocoa",$PPP,523.9851482
National,Middle,Belarus,"Coffee, Tea and Cocoa",Local Currency,578071.9432
National,Lowest,Belarus,"Coffee, Tea and Cocoa",US$,0.203142739
National,Lowest,Belarus,"Coffee, Tea and Cocoa",$PPP,0.54845052
National,Lowest,Belarus,"Coffee, Tea and Cocoa",Local Currency,605.0626793
National,Low,Belarus,"Coffee, Tea and Cocoa",US$,33.37580764
National,Low,Belarus,"Coffee, Tea and Cocoa",$PPP,90.10895071
National,Low,Belarus,"Coffee, Tea and Cocoa",Local Currency,99410.17682
National,All,Belarus,"Coffee, Tea and Cocoa",US$,276.628021
National,All,Belarus,"Coffee, Tea and Cocoa",$PPP,746.8481656
National,All,Belarus,"Coffee, Tea and Cocoa",Local Currency,823939.3269
Rural,Higher,Belarus,"Coffee, Tea and Cocoa",US$,4.746915436
Rural,Higher,Belarus,"Coffee, Tea and Cocoa",$PPP,12.81585673
Rural,Higher,Belarus,"Coffee, Tea and Cocoa",Local Currency,14138.73509
Rural,Middle,Belarus,"Coffee, Tea and Cocoa",US$,44.40215856
Rural,Middle,Belarus,"Coffee, Tea and Cocoa",$PPP,119.8782052
Rural,Middle,Belarus,"Coffee, Tea and Cocoa",Local Currency,132252.2733
Rural,Lowest,Belarus,"Coffee, Tea and Cocoa",US$,0.169208217
Rural,Lowest,Belarus,"Coffee, Tea and Cocoa",$PPP,0.456833135
Rural,Lowest,Belarus,"Coffee, Tea and Cocoa",Local Currency,503.9883652
Rural,Low,Belarus,"Coffee, Tea and Cocoa",US$,14.19439868
Rural,Low,Belarus,"Coffee, Tea and Cocoa",$PPP,38.32243956
Rural,Low,Belarus,"Coffee, Tea and Cocoa",Local Currency,42278.15841
Rural,All,Belarus,"Coffee, Tea and Cocoa",US$,63.51268089
Rural,All,Belarus,"Coffee, Tea and Cocoa",$PPP,171.4733346
Rural,All,Belarus,"Coffee, Tea and Cocoa",Local Currency,189173.1552
